,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,R1,R2,R3,R4,R5,R6,R7,R8,J1,J2,J3,J4,J5,J6,J7,J8
A1,0,-0.005,0.002,-0.005,0.005,0.4,0.242,0.198,0.497,0.465,0.522,0.499,0.477,0.475,0.482,0.569,0.753,0.758,0.733,0.777,0.745,0.784,0.768,0.767,0.759,0.764,0.773,0.787,0.773,0.777,0.781,0.769
A2,-0.005,0,-0.011,-0.02,-0.013,0.379,0.221,0.181,0.48,0.449,0.506,0.482,0.458,0.455,0.464,0.551,0.744,0.748,0.723,0.768,0.735,0.775,0.758,0.757,0.749,0.754,0.763,0.779,0.764,0.768,0.772,0.76
A3,0.002,-0.011,0,-0.022,-0.024,0.356,0.202,0.165,0.457,0.426,0.478,0.458,0.426,0.436,0.427,0.542,0.737,0.741,0.718,0.759,0.727,0.764,0.744,0.745,0.731,0.738,0.748,0.77,0.754,0.76,0.761,0.749
A4,-0.005,-0.02,-0.022,0,-0.006,0.275,0.109,0.072,0.38,0.345,0.403,0.376,0.347,0.37,0.339,0.491,0.706,0.708,0.685,0.727,0.693,0.732,0.712,0.712,0.694,0.704,0.714,0.738,0.721,0.727,0.728,0.716
A5,0.005,-0.013,-0.024,-0.006,0,0.221,0.049,0.022,0.342,0.302,0.366,0.343,0.324,0.329,0.301,0.464,0.697,0.7,0.673,0.722,0.681,0.731,0.709,0.707,0.703,0.709,0.72,0.733,0.716,0.721,0.724,0.712
A6,0.4,0.379,0.356,0.275,0.221,0,0.066,0.112,0.072,0.074,0.086,0.05,0.004,0.219,0.066,0.414,0.684,0.685,0.665,0.7,0.667,0.704,0.672,0.675,0.648,0.668,0.678,0.711,0.692,0.702,0.695,0.682
A7,0.242,0.221,0.202,0.109,0.049,0.066,0,0.042,0.144,0.131,0.164,0.118,0.066,0.232,0.066,0.402,0.673,0.671,0.653,0.685,0.653,0.686,0.651,0.655,0.621,0.645,0.655,0.696,0.677,0.687,0.678,0.664
A8,0.198,0.181,0.165,0.072,0.022,0.112,0.042,0,0.157,0.134,0.166,0.126,0.06,0.222,0.112,0.386,0.653,0.65,0.633,0.664,0.633,0.665,0.632,0.637,0.599,0.623,0.632,0.675,0.657,0.667,0.657,0.643
S1,0.497,0.48,0.457,0.38,0.342,0.072,0.144,0.157,0,0.001,-0.013,-0.072,-0.086,0.209,0.141,0.419,0.695,0.696,0.675,0.713,0.68,0.717,0.689,0.691,0.67,0.688,0.696,0.724,0.706,0.715,0.709,0.699
S2,0.465,0.449,0.426,0.345,0.302,0.074,0.131,0.134,0.001,0,0.001,-0.045,-0.076,0.222,0.122,0.426,0.698,0.698,0.678,0.714,0.681,0.717,0.689,0.691,0.664,0.683,0.692,0.724,0.706,0.716,0.709,0.698
S3,0.522,0.506,0.478,0.403,0.366,0.086,0.164,0.166,-0.013,0.001,0,-0.079,-0.08,0.215,0.158,0.432,0.713,0.716,0.69,0.733,0.697,0.74,0.712,0.712,0.702,0.716,0.725,0.746,0.727,0.734,0.731,0.72
S4,0.499,0.482,0.458,0.376,0.343,0.05,0.118,0.126,-0.072,-0.045,-0.079,0,-0.018,0.177,0.141,0.391,0.683,0.685,0.661,0.704,0.665,0.711,0.683,0.683,0.674,0.688,0.697,0.716,0.698,0.706,0.703,0.693
S5,0.477,0.458,0.426,0.347,0.324,0.004,0.066,0.06,-0.086,-0.076,-0.08,-0.018,0,0.103,0.146,0.334,0.652,0.656,0.624,0.684,0.634,0.695,0.671,0.667,0.677,0.684,0.695,0.696,0.679,0.685,0.688,0.678
S6,0.475,0.455,0.436,0.37,0.329,0.219,0.232,0.222,0.209,0.222,0.215,0.177,0.103,0,0.161,0.104,0.528,0.526,0.505,0.552,0.497,0.559,0.507,0.509,0.478,0.504,0.52,0.57,0.546,0.556,0.547,0.53
S7,0.482,0.464,0.427,0.339,0.301,0.066,0.066,0.112,0.141,0.122,0.158,0.141,0.146,0.161,0,0.39,0.711,0.718,0.68,0.742,0.69,0.759,0.723,0.716,0.753,0.752,0.766,0.762,0.741,0.741,0.749,0.737
S8,0.569,0.551,0.542,0.491,0.464,0.414,0.402,0.386,0.419,0.426,0.432,0.391,0.334,0.104,0.39,0,0.488,0.487,0.469,0.52,0.468,0.523,0.485,0.489,0.452,0.47,0.484,0.538,0.515,0.525,0.525,0.508
R1,0.753,0.744,0.737,0.706,0.697,0.684,0.673,0.653,0.695,0.698,0.713,0.683,0.652,0.528,0.711,0.488,0,-0.012,-0.001,0.032,0.002,0.024,-0.003,0.003,0.032,0.049,0.041,0.169,0.143,0.069,0.138,0.138
R2,0.758,0.748,0.741,0.708,0.7,0.685,0.671,0.65,0.696,0.698,0.716,0.685,0.656,0.526,0.718,0.487,-0.012,0,-0.008,0.03,-0.005,0.013,-0.008,0.004,0.036,0.039,0.044,0.171,0.133,0.067,0.132,0.137
R3,0.733,0.723,0.718,0.685,0.673,0.665,0.653,0.633,0.675,0.678,0.69,0.661,0.624,0.505,0.68,0.469,-0.001,-0.008,0,0.036,0.001,0.008,-0.014,-0.003,-0.007,0.003,0.005,0.158,0.128,0.068,0.125,0.127
R4,0.777,0.768,0.759,0.727,0.722,0.7,0.685,0.664,0.713,0.714,0.733,0.704,0.684,0.552,0.742,0.52,0.032,0.03,0.036,0,0.045,0.054,0.02,0.024,0.083,0.074,0.079,0.182,0.162,0.078,0.149,0.153
R5,0.745,0.735,0.727,0.693,0.681,0.667,0.653,0.633,0.68,0.681,0.697,0.665,0.634,0.497,0.69,0.468,0.002,-0.005,0.001,0.045,0,0.018,0.007,0.013,0.036,0.043,0.036,0.189,0.151,0.096,0.158,0.152
R6,0.784,0.775,0.764,0.732,0.731,0.704,0.686,0.665,0.717,0.717,0.74,0.711,0.695,0.559,0.759,0.523,0.024,0.013,0.008,0.054,0.018,0,0.017,0.026,0.133,0.119,0.113,0.203,0.181,0.087,0.18,0.183
R7,0.768,0.758,0.744,0.712,0.709,0.672,0.651,0.632,0.689,0.689,0.712,0.683,0.671,0.507,0.723,0.485,-0.003,-0.008,-0.014,0.02,0.007,0.017,0,0.019,0.115,0.087,0.098,0.186,0.152,0.062,0.153,0.147
R8,0.767,0.757,0.745,0.712,0.707,0.675,0.655,0.637,0.691,0.691,0.712,0.683,0.667,0.509,0.716,0.489,0.003,0.004,-0.003,0.024,0.013,0.026,0.019,0,0.075,0.065,0.078,0.188,0.144,0.065,0.151,0.138
J1,0.759,0.749,0.731,0.694,0.703,0.648,0.621,0.599,0.67,0.664,0.702,0.674,0.677,0.478,0.753,0.452,0.032,0.036,-0.007,0.083,0.036,0.133,0.115,0.075,0,0.082,0.115,-0.035,-0.071,-0.064,-0.013,-0.05
J2,0.764,0.754,0.738,0.704,0.709,0.668,0.645,0.623,0.688,0.683,0.716,0.688,0.684,0.504,0.752,0.47,0.049,0.039,0.003,0.074,0.043,0.119,0.087,0.065,0.082,0,0.046,-0.065,-0.085,-0.072,-0.047,-0.077
J3,0.773,0.763,0.748,0.714,0.72,0.678,0.655,0.632,0.696,0.692,0.725,0.697,0.695,0.52,0.766,0.484,0.041,0.044,0.005,0.079,0.036,0.113,0.098,0.078,0.115,0.046,0,-0.042,-0.06,-0.069,-0.025,-0.05
J4,0.787,0.779,0.77,0.738,0.733,0.711,0.696,0.675,0.724,0.724,0.746,0.716,0.696,0.57,0.762,0.538,0.169,0.171,0.158,0.182,0.189,0.203,0.186,0.188,-0.035,-0.065,-0.042,0,0.036,0.063,0.038,0.012
J5,0.773,0.764,0.754,0.721,0.716,0.692,0.677,0.657,0.706,0.706,0.727,0.698,0.679,0.546,0.741,0.515,0.143,0.133,0.128,0.162,0.151,0.181,0.152,0.144,-0.071,-0.085,-0.06,0.036,0,0.041,0.031,0.001
J6,0.777,0.768,0.76,0.727,0.721,0.702,0.687,0.667,0.715,0.716,0.734,0.706,0.685,0.556,0.741,0.525,0.069,0.067,0.068,0.078,0.096,0.087,0.062,0.065,-0.064,-0.072,-0.069,0.063,0.041,0,0.061,0.051
J7,0.781,0.772,0.761,0.728,0.724,0.695,0.678,0.657,0.709,0.709,0.731,0.703,0.688,0.547,0.749,0.525,0.138,0.132,0.125,0.149,0.158,0.18,0.153,0.151,-0.013,-0.047,-0.025,0.038,0.031,0.061,0,0.033
J8,0.769,0.76,0.749,0.716,0.712,0.682,0.664,0.643,0.699,0.698,0.72,0.693,0.678,0.53,0.737,0.508,0.138,0.137,0.127,0.153,0.152,0.183,0.147,0.138,-0.05,-0.077,-0.05,0.012,0.001,0.051,0.033,0